PlayerID,Hours_Played,Skill_Level,Age,Purchase
1,1,Low,13,No
2,2,Low,14,No
3,3,Low,15,No
4,4,Low,16,No
5,5,Low,17,No
6,6,Low,18,No
7,7,Medium,19,Yes
8,8,Medium,20,Yes
9,9,Medium,21,Yes
10,10,Medium,22,Yes
11,11,Medium,23,Yes
12,12,Medium,24,Yes
13,13,High,24,Yes
14,14,High,25,Yes
15,15,High,26,Yes
16,16,High,27,Yes
17,17,High,28,Yes
18,18,High,29,Yes
19,19,High,30,Yes
20,20,High,31,Yes
21,6,Low,19,No
22,7,Medium,20,Yes
23,8,Medium,21,Yes
24,9,Medium,22,Yes
25,10,High,23,Yes
26,11,High,24,Yes
27,12,High,25,Yes
28,13,High,26,Yes
29,14,High,27,Yes
30,15,High,28,Yes
31,3,Low,16,No
32,4,Low,17,No
33,5,Low,18,No
34,6,Medium,19,Yes
35,7,Medium,20,Yes
36,8,Medium,21,Yes
37,9,High,22,Yes
38,10,High,23,Yes
39,11,High,24,Yes
40,12,High,25,Yes
